Province,Year,Addicted to other drugs,Adhd,Alcoholic,Anxiety Disorder,Autistic Disorder,Dementia,Depression,Epilepsy,Intellectual Disabilities,Learning Disabilities,Male population,Schizophrenia,Self-Harm,Total population,Women population
Phetchaburi,2017,70.590238201,265.543866643,243.328703444,333.642684671,94.466348180,36.748447534,379.318721154,42.976997963,33.426553971,25.952293456,48457.291867797,524.443946160,47.752219959,100000,51542.708132203
Phetchaburi,2018,96.751786187,273.303122519,359.304710241,381.838780101,178.411947605,50.029769780,397.137139455,48.789362265,58.919356973,44.447935962,48491.044257740,387.007144747,38.452632972,100000,51508.955742260
Phetchaburi,2019,39.415169681,168.391510261,78.004890783,265.588080523,36.526099652,35.287926783,414.168824871,226.585635131,31.367046029,46.018758319,48452.387094111,279.001619943,34.049753913,100000,51547.612905889
Phetchaburi,2020,55.187637969,161.238509440,29.858983230,213.337287075,29.447135185,38.507792165,394.344502652,170.093242397,28.829363118,24.916806695,48411.090244144,222.192020032,39.743336299,100000,51588.909755856
Phetchaburi,2021,73.175636037,161.069317850,48.714658552,202.528601723,40.422801777,48.092769294,401.118571479,222.429057983,33.167427099,26.326645260,48264.203432414,273.216680728,34.203909196,100000,51735.796567586
Phetchaburi,2022,71.851575765,160.268356318,59.220607115,244.543835673,31.473889096,39.342361370,495.920818321,255.311218785,25.676067420,26.918457779,48183.211164948,350.975276432,23.191286702,100000,51816.788835052
Phetchaburi,2023,127.510360217,211.965274127,92.941804768,380.668104608,57.545259968,73.691052333,634.653838352,351.274482610,47.609387743,41.813462279,48136.609963196,434.901407168,95.632770163,100000,51863.390036804
Phichit,2015,6.037653000,0.182959182,18.295918181,604.314177507,3.842142818,10.611632545,426.294893609,33.298571089,3.842142818,16.466326363,48952.558684158,593.702544962,2.195510182,100000,51047.441315842
Phichit,2016,53.308529549,0.183822516,69.484910929,607.165769306,12.132286035,48.345321625,428.306461545,111.212621989,12.132286035,29.595425025,48943.663913618,994.112164823,7.352900627,100000,51056.336086382
Phichit,2017,204.075613056,330.908514396,153.379322550,541.620732755,48.852789033,128.492052665,487.053089155,54.751993747,112.453589850,18.988065171,48904.407074621,815.380701489,35.948278723,100000,51095.592925379
Phichit,2018,191.201406828,323.784974232,252.777875371,549.010615931,97.080017974,120.564136607,485.954832828,52.700581186,136.836596763,29.216462552,48880.251335544,514.431638100,39.941493109,100000,51119.748664456
Phichit,2019,47.253967752,74.043618761,140.645667797,357.381386030,20.278277500,38.510123325,399.240215731,202.968814242,20.092238257,68.462441467,48827.301631006,292.639729425,20.836395229,100000,51172.698368994
Phichit,2020,34.242858586,35.552694707,87.571900647,239.138651767,9.355972291,76.531853343,442.537489381,130.983612079,23.577050174,37.611008611,48820.024774615,232.776590609,23.951289066,100000,51179.975225385
Phichit,2021,43.158037572,85.750686005,156.801254410,366.937550885,21.107861171,127.966408347,474.926876338,205.801646413,32.038717848,54.277357296,48754.447727890,276.663751772,27.327141694,100000,51245.552272110
Phichit,2022,92.186003282,126.328967460,167.490207608,413.698915961,42.868388357,46.472367909,549.132673868,253.985716860,27.314371343,85.167727312,48718.026536670,363.622568499,7.207959104,100000,51281.973463330
Phichit,2023,133.239671062,146.410927944,203.104598868,538.685317675,45.813067414,222.193376958,607.595806577,290.912978078,49.249047470,98.116319378,48708.644162270,424.916200264,62.420304351,100000,51291.355837730
Phitsanulok,2015,9.081436031,0,5.705004686,504.485414399,2.095716007,2.561430675,434.046070824,8.965007364,0.815000669,1.746430006,49095.407471228,448.133939539,1.164286671,100000,50904.592528772
Phitsanulok,2016,10.633207507,0,14.447292808,500.800957913,6.356808836,16.180967946,430.876060720,19.301583192,3.120615247,2.427145192,48980.136706063,711.500276232,2.773880219,100000,51019.863293937
Phitsanulok,2017,485.530337819,516.955874372,493.647635083,521.826252731,242.011419878,171.390933675,540.611997829,74.331250667,65.634146455,73.287598161,49048.536799187,625.727657719,24.931698742,100000,50951.463200813
Phitsanulok,2018,257.782123708,326.021975781,500.155248560,430.525110875,191.975271453,93.844278743,518.808247174,61.288424019,57.928567125,44.141568149,49026.452500892,404.573112803,29.659426368,100000,50973.547499108
